BOOK_DEP_TIME,CAR_NO,DEP_LATITUDE,DEP_LONGITUDE,DEP_TIME,DEST_LATITUDE,DEST_LONGITUDE,DEST_TIME,DRIVE_MILE,DRIVE_TIME,记录数,ON_AREA,ORDER_ID,ORDER_MATCH_TIME,WAIT_MILE,WAIT_TIME
20190601084232,b7187dfd8670a8b88ef06b5c485ddcdf,24.4358,118.08952,20190601085206,24.47158,118.15952,20190601091115,13.2,1140,1,350203,35196662853857,20190601191904,,
20190601080603,212e11cb2b31a798b8f07debd3778fb8,24.48718,118.1121,20190601081007,24.51728,118.10748,20190601082221,3.9,720,1,350203,35196661970427,20190601191905,,
20190601085636,a2451061c417cd8ce2a0e78a5e01db97,24.52153,118.18561,20190601085801,24.4664,118.18326,20190601090725,6.7,540,1,350206,35196663204985,20190601194052,,
20190601081632,830542f76fb27861cdcb768583f7250f,24.62096,118.06494,20190601081924,24.63418,118.063,20190601082547,2.6,360,1,350211,35196662062359,20190601194208,,
20190601083127,aa73fd2501389bbc12edb6ab4acd9ee0,24.62531,118.2408,20190601083436,24.66511,118.21424,20190601084413,7.5,540,1,350213,35196662642390,20190601194327,,
20190601083518,7d401062c050d35f9ed3cfff2d5d8caf,24.62017,118.06193,20190601083649,24.60607,118.04903,20190601084326,2.8,360,1,350211,35196662745888,20190601194729,,
20190601083950,c11419664c12c5002dd6b568a3900e1d,24.64412,118.23694,20190601084254,24.65916,118.25048,20190601085121,3.2,480,1,350213,35196662793139,20190601194940,,
20190601084720,d295722ea3150e780fc79a2a91914fa3,24.45728,118.11644,20190601085119,24.59173,118.11023,20190601091837,20,1620,1,350203,35196662950501,20190601193358,,
20190601080812,5f51a9928013e9a95d0fb75c07c58d69,24.57318,118.09901,20190601081146,24.58114,118.10365,20190601081806,1.5,360,1,350211,35196661973831,20190601192005,,
20190601084926,01519a1c304b1998d0add2946be0e76b,24.57995,118.03053,20190601085313,24.60992,118.0251,20190601090045,5.8,420,1,350211,35196662877186,20190601194153,,
20190601084158,522454185f0ef0e462d27b867f94ba12,24.51227,118.15033,20190601084203,24.51611,118.11655,20190601085612,5.6,900,1,350206,35196662761082,20190601193229,,
20190601083227,7016ea77c52ecff26ca4781ded9c6236,24.50183,118.12887,20190601083703,24.5739,118.09207,20190601085345,10.3,960,1,350206,35196662461182,20190601193735,,
20190601082521,0a9fd1bca47130d8670f299846e1953d,24.47895,118.10868,20190601082806,24.461,118.07941,20190601083836,4.7,600,1,350203,35196662406877,20190601191526,,
20190601081447,0c3ba5db4b0d905cdb14d684d4392792,24.54448,118.12155,20190601081443,24.5645,118.06556,20190601082928,8.7,900,1,350206,35196662031324,20190601193922,,
20190601080600,e950934484795435f424295d0ef8552d,24.54457,118.14983,20190601080607,24.54481,118.14964,20190601080600,0,38418,1,350200,20190601000084,20190601190640,0,
20190601090600,dce13f8c8ba3268b358e83ebd85913fc,24.4714,118.12051,20190601080649,24.43418,118.11809,20190601090600,0,39772,1,350200,20190530000152,20190601190606,0,
20190601083925,088d37d0525bb21972623b2629b24503,24.62631,118.04675,20190601084112,24.58329,118.05031,20190601085308,7.4,660,1,350211,35196662663591,20190601192518,,
20190601090600,dce13f8c8ba3268b358e83ebd85913fc,24.4714,118.12051,20190601080649,24.43418,118.11809,20190601090600,0,39772,1,350200,20190530000152,20190601190606,0,
20190601080600,e950934484795435f424295d0ef8552d,24.54457,118.14983,20190601080607,24.54481,118.14964,20190601080600,0,38418,1,350200,20190601000084,20190601190640,0,
20190601080457,e4d71188f0cd62dec42ebf6631750aaa,24.4737,118.1341,20190601080752,24.48264,118.10821,20190601081530,4.7,420,1,350203,35196661801129,20190601191924,,
20190601082431,777cb3f82cd7b64f3cdca668d2ffc451,24.44839,118.15552,20190601082911,24.48171,118.07492,20190601085505,12.4,1500,1,350203,35196662387984,20190601191918,,
20190601082131,4f6b56d7328e6ebf7ea83bf9dd6923ed,24.49475,118.11752,20190601082102,24.51202,118.16043,20190601082913,6,540,1,350203,35196662176344,20190601195019,,
20190601080523,64d0fd84cda56e7b156137fb0fe44fe6,24.46791,118.17356,20190601080951,24.47263,118.16325,20190601081426,1.4,240,1,350203,35196661737325,20190601193550,,
20190601082015,5be6c3b97a2ddeabd02172c539eef8fe,24.47727,118.16877,20190601082843,24.49073,118.11127,20190601084646,7.7,1083,1,350200,201906011691,20190601185734,0,4
20190601083953,2816c740eb89378cf6c2ef5c3cbfd9a6,24.46872,118.11412,20190601084231,24.48504,118.12745,20190601084824,2.6,300,1,350203,35196662771211,20190601192821,,
20190601080000,c5644aa4fc6ea1941f616a71d35ca502,24.47891,118.08303,20190601080512,24.59444,118.05945,20190601082414,18.5,1140,1,350203,35196661755910,20190601193307,,
20190601083106,3cc7f055350c9017f07bdfa3bc8fada1,24.52511,118.1643,20190601083449,24.6353,118.07467,20190601085532,17.8,1200,1,350206,35196662709740,20190601194125,,
20190601083520,c2844b7ad4ef5bc8d50ee83c399c62d5,24.46982,118.09062,20190601083817,24.48868,118.11778,20190601085209,4.9,780,1,350203,35196662675707,20190601194126,,
20190601082827,2ee32a06885adee1dffb54ed2d1e660d,24.49169,118.1463,20190601083549,24.46352,118.09434,20190601085437,7.3,1080,1,350206,35196662427654,20190601194351,,
20190601082633,63a6209e171e5e7effc2fb5beb304bdb,24.5251,118.16424,20190601082935,24.50397,118.17514,20190601083835,3,540,1,350206,35196662411626,20190601192015,,
20190601084049,399260d7b9642d64981b68295797855f,24.58296,118.09654,20190601085048,24.6353,118.07467,20190601090442,10,780,1,350211,35196662801814,20190601192606,,
